Прайс-лист на 18 июня 2018 г.;;;;;;;;;
Курс 61;;;;;;;;;
Ценовая группа;;ВАШ ЗАКАЗ;Розница;1 Оптовая У.Е.;;;;;
Артикул;Номенклатура;;руб.;У.Е;;;;;
;;;Включает НДС;Включает НДС;;;;;
;;;Цена;Цена;;;;;
;;;;;;;;;
;Товары;;;;;;;;
;Набор для заправки BURSTEN Plug-n-Print ;;;;;;;;
2771111150097.0;Чернила ОСР 144 Y для картриджей CAN CLI-521/426, 25 g;;180.0;1.67;;;;;C7O
2771111151070.0;Чернила ОСР 153 BK  для картриджей CAN CLI-471BK, 25 g;;240.0;2.45;;;;;C7O
2771111151087.0;Чернила ОСР 153 C  для картриджей CAN CLI-471C, 25 g;;320.0;3.22;;;;;C7O
2771111151148.0;Чернила ОСР 153 GY для картриджей CAN CLI-471GY, 25 g;;320.0;3.22;;;;;C7O
2771111151094.0;Чернила ОСР 153 M  для картриджей CAN CLI-471M, 25 g;;320.0;3.22;;;;;C7O
2771111151100.0;Чернила ОСР 153 Y  для картриджей CAN CLI-471Y, 25 g;;320.0;3.22;;;;;C7O
2771111150493.0;Чернила ОСР 154 C для картриджей CAN CLI-221/426/521/821, 25 g;;350.0;3.34;;;;;C7O
2771111150196.0;Чернила ОСР 157 BK для картриджей CAN CL-42GY, 25 g;;150.0;1.28;;;;;C7O
2771111150202.0;Чернила ОСР 158 BK для картриджей CAN CL-42LGY, 25 g;;140.0;1.28;;;;;C7O
2771111150219.0;Чернила ОСР 158 C для картриджей CAN CL-42C, 25 g;;140.0;1.28;;;;;C7O
2771111150226.0;Чернила ОСР 158 M для картриджей CAN CL-42M, 25 g;;140.0;1.28;;;;;C7O
2771111150233.0;Чернила ОСР 158 Y для картриджей CAN CL-42Y, 25 g;;140.0;1.28;;;;;C7O
2771111150240.0;Чернила ОСР 159 BK для картриджей CAN CL-42BK, 25 g;;280.0;2.61;;;;;C7O
2771111150257.0;Чернила ОСР 159 CL для картриджей CAN CL-42PC, 25 g;;140.0;1.28;;;;;C7O
2771111150264.0;Чернила ОСР 159 ML для картриджей CAN CL-42PM, 25 g;;140.0;1.28;;;;;C7O
2771111150271.0;Чернила ОСР 235 BKP Pigment для картриджей CAN PGI-450Bk, 25 g;;390.0;3.78;;;;;C7O
2771111150103.0;Чернила ОСР 44 BKP  для картриджей CAN PGI-5/521/425,PG-37/40/50/510/512, 25 g;;370.0;3.56;;;;;C7O
2771111150424.0;Чернила ОСР 47 Y для картриджей CAN BCI-6, 25 g;;170.0;1.56;;;;;C7O
2771111150486.0;Чернила ОСР 68 BK для картриджей CAN BCI-21/BCI-6, 25 g;;180.0;1.9;;;;;C7O
2771111150523.0;Чернила ОСР 710 C  для картриджей CAN CL-441 Cyan, 25 g;;140.0;1.4;;;;;C7O
2771111150516.0;Чернила ОСР 710 Y  для картриджей CAN CL-441 Yelllow, 25 g;;140.0;1.4;;;;;C7O
2771111150509.0;Чернила ОСР 710 М для картриджей CAN CL-441 Magenta, 25 g;;140.0;1.4;;;;;C7O
2771111150554.0;Чернила ОСР 712 C  для картриджей CAN CL-511/513 Cyan, 25 g;;140.0;1.4;;;;;C7O
